Ano,D.Y,P/L,PEG RATIO,P/VP,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Ticker,Tipo
ATUAL,"2,16%","52,51","0,21","3,62","18,83","26,84","16,68","23,76","3,28","1,28","0,23","7,71","3,17","-2,63","0,42","1,93","2,75","0,35","0,65","4,78","47,20%","46,25%","32,46%","14,69%","6,90%","2,44%","4,62%","0,17",-%,-%,ARML3,acoes
2021,"0,26%","155,96",-,"8,14","50,52","71,83","49,20","69,96","3,22","2,76","0,17","23,23","5,71","-6,54","0,22","1,32","1,88","0,34","0,66","6,09","48,20%","47,22%","33,21%","14,90%","5,22%","1,77%","3,24%","0,12",-%,-%,ARML3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,56","3,90","5,47","0,20","0,80","1,36","45,15%","50,27%","35,78%","15,75%","20,61%","4,08%","8,48%","0,26",-%,-%,ARML3,acoes
ATUAL,"2,90%","4,63","0,28","0,83","4,96","5,29","4,91","5,23","5,09","0,55","0,92","0,79","0,93","-3,38","0,00","0,01","0,01","0,66","0,34","3,36","26,24%","16,04%","15,05%","17,02%","17,99%","11,86%","12,72%","0,70",-%,-%,MLAS3,acoes
2021,-%,"8,84",-,"1,71","7,94","8,34","8,39","8,80","4,89","1,03","0,94","1,41","1,87","-7,03","-0,09","-0,44","-0,47","0,60","0,40","2,79","27,99%","16,85%","16,06%","15,98%","19,33%","11,60%","15,44%","0,73",-%,-%,MLAS3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,16","0,45","0,47","0,33","0,67","1,72","34,49%","19,28%","18,45%","15,62%","29,15%","9,48%","22,95%","0,61",-%,-%,MLAS3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,07","0,34","0,36","0,60","0,40","2,83","32,39%","12,42%","11,55%","12,12%","20,12%","12,03%","15,77%","0,99",-%,-%,MLAS3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,15","0,57","0,60","0,52","0,48","2,33","34,92%","12,78%","12,29%","12,24%","24,77%","12,88%","19,98%","1,05",-%,-%,MLAS3,acoes
ATUAL,"2,60%","5,95","-0,03","1,40",-,"8,71",-,"7,19","7,91","0,55","1,87","2,27","2,88","-0,88","0,29",-,"1,48","0,39","0,61","2,06","20,36%",-%,"31,55%","38,17%","23,60%","9,30%","11,33%","0,24",-%,-%,CBAV3,acoes
2021,-%,"10,96",-,"1,73","5,14","7,02","4,40","6,02","7,91","0,68","1,25","0,97","3,55","-1,08","0,30","0,74","1,01","0,38","0,61","2,06","19,28%","21,96%","16,07%","8,82%","16,51%","6,21%","16,96%","0,70",-%,-%,CBAV3,acoes
