Empresas,Ativos,Tipo,error
Aeris,AERI3F,acoes,1
Intercement,ICBR3,acoes,1
Dotz,DOTZ3F,acoes,1
Gol,GOLL3,acoes,1
VIA S.A,VIIA3F,acoes,1
Armac,ARML3,acoes,0
Multilaser,MLAS3,acoes,0
CBA,CBAV3,acoes,0
3tentos,TTEN3,acoes,0
BR Partners,BRBI11,acoes,0
GetNinjas,NINJ3,acoes,0
Athena Saúde,ATEA3,acoes,1
Banco Modal,MODL4,acoes,0
Banco Modal,MODL3,acoes,0
Vittia Fertilizantes,VITT3,acoes,0
Kora Saúde,KRSA3,acoes,0
Caixa Seguridade,CXSE3,acoes,0
Rio Alto Energias Renováveis,RIOS3,acoes,1
Hospital Care Caledonia,HCAR3,acoes,1
Grupos GPS,GGPS3,acoes,0
Mater Dei,MATD3,acoes,0
Allied Tecnologia,ALLD3,acoes,0
Blau Farmacêutica,BLAU3,acoes,0
Atma Participações,ATMP3,acoes,0
Assaí,ASAI3,acoes,0
Grupo JSL,JSLG3,acoes,0
CSN Mineração,CMIN3,acoes,0
Eletromídia,ELMD3,acoes,0
Orizon,ORVR3,acoes,0
OceanPact,OPCT3,acoes,0
Westwing,WEST3,acoes,0
Cruzeiro Do Sul Educacional,CSED3,acoes,0
Bemobi,BMOB3,acoes,0
Jalles Machado,JALL3,acoes,0
Mobly,MBLY3,acoes,0
Espaçolaser,ESPA3,acoes,0
Vamos,VAMO3,acoes,0
Intelbras SA,INTB3,acoes,0
Hedge Investiments,CJCT11,acoes,1
BM Brascam Lajes Corporativas,BMLC11,acoes,1
Real Estate Capital,RECR11,acoes,1
FII URCA RENCI,URPR11,acoes,1
Devant Recebíveis Imobiliários,DEVA11,acoes,1
Mérito Investimentos,MFAI11,acoes,1
Neogrid,NGRD3,acoes,0
Alphaville S.A.,AVLL3,acoes,0
3R Petroleum,RRRP3,acoes,0
Enjoei,ENJU3,acoes,0
Méliuz,CASH3,acoes,0
Track & Field,TFCO4,acoes,0
Triple Play,CONX3,acoes,1
Grupo Mateus,GMAT3,acoes,0
Sequoia,SEQL3,acoes,0
Compass,PASS3,acoes,1
Boa Vista SCPC,BOAS3,acoes,0
Melnick,MELK3,acoes,0
Hidrovias do Brasil,HBSA3,acoes,0
Simpar,SIMH3F,acoes,1
Cury,CURY3,acoes,0
Plano & Plano,PLPL3,acoes,0
Petz,PETZ3,acoes,0
Pague Menos,PGMN3,acoes,0
Lavvi Incorporadora,LAVV3,acoes,0
Quero-Quero,LJQQ3,acoes,0
d1000,DMVF3,acoes,0
Grupo Soma,SOMA3,acoes,0
Riva 9,RIVA3,acoes,1
Ambipar,AMBP3,acoes,0
Allpark,ALPK3,acoes,0
Mitre Realty,MTRE3,acoes,0
Moura Dubeux,MDNE3,acoes,0
Bardella,BDLL4F ,acoes,1
UPS,UPSS34F ,acoes,1
Lockheed,LMTB34F,acoes,1
Johnson,JNJB34F,acoes,1
Fedex Corp,FDXB34F,acoes,1
Exxon Mobile,EXXO34F ,acoes,1
Caterpillar,CATP34F,acoes,1
Bristolmyers,BMYB34F,acoes,1
Arcelor,ARMT34F,acoes,1
American Express,AXPB34F,acoes,1
Abbott Laboratories,ABTT34F,acoes,1
Santos - Brasil,STBP3F,acoes,1
Randon Part,RAPT3F,acoes,1
Engie,EGIE3F,acoes,1
MMX Mineração,MMXM11F,acoes,1
Lupatech,LUPA3F,acoes,1
Inepar,INEP4F,acoes,1
Ger Paranapanema,GEPA4F,acoes,1
Fras-Le,FRAS3F,acoes,1
Afluente T,AFLT3F,acoes,1
Schulz,SHUL4F,acoes,1
VIA S.A,VIIA3,acoes,0
Cedro,CEDO4F ,acoes,1
Netflix,NFLX34F ,acoes,1
Nike,NIKE34F,acoes,1
McDonald's,MCDC34F,acoes,1
Home Depot,HOME34F ,acoes,1
Ford Motors,FDMO34F,acoes,1
Comcast,CMCS34F,acoes,1
Amazon,AMZO34F,acoes,1
Rodobens,RDNI3F,acoes,1
Saraiva Livr,SLED4F,acoes,1
Rossi Resid,RSID3F,acoes,1
Mundial,MNDL3F,acoes,1
Metal Leve,LEVE3F,acoes,1
Karsten,CTKA4F,acoes,1
Iochpe-Maxion,MYPK3F,acoes,1
Grendene,GRND3F,acoes,1
Locamerica,LCAM3F,acoes,1
C&A,CEAB3,acoes,0
Le Lis Blanc,LLIS3F,acoes,1
Grazziotin,CGRA3F,acoes,1
Estrela,ESTR4F,acoes,1
Direcional,DIRR3F,acoes,1
Coteminas,CTNM3F,acoes,1
Anima,ANIM3F,acoes,1
Even,EVEN3F,acoes,1
Marisa,AMAR3F,acoes,1
Movida,MOVI3F,acoes,1
JHSF,JHSF3F,acoes,1
Helbor,HBOR3F,acoes,1
PDG Realty,PDGR3F,acoes,1
Arezzo,ARZZ3F,acoes,1
Ez Tec,EZTC3F,acoes,1
Alpargatas,ALPA3F,acoes,1
Localiza,RENT3F,acoes,1
MRV Engenharia,MRVE3F,acoes,1
Magazine Luiza,MGLU3F,acoes,1
Lojas Renner,LREN3F,acoes,1
