Ano,P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Ticker,Tipo
2022,52.51,3.62,18.83,26.84,23.76,3.28,1.28,0.23,7.71,3.17,-2.63,0.42,1.93,2.75,0.35,0.65,4.78,47.2,46.25,32.46,14.69,6.9,2.44,4.62,0.17,8.991378868978357,13.030695948035882,ARML3,acoes
2021,155.96,8.14,50.52,71.83,69.96,3.22,2.76,0.17,23.23,5.71,-6.54,0.22,1.32,1.88,0.34,0.66,6.09,48.2,47.22,33.21,14.9,5.22,1.77,3.24,0.12,8.991378868978357,13.030695948035882,ARML3,acoes
2020,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,2.56,3.9,5.47,0.2,0.8,1.36,45.15,50.27,35.78,15.75,20.61,4.08,8.48,0.26,8.991378868978357,13.030695948035882,ARML3,acoes
2022,4.63,0.83,4.96,5.29,5.23,5.09,0.55,0.92,0.79,0.93,-3.38,0.0,0.01,0.01,0.66,0.34,3.36,26.24,16.04,15.05,17.02,17.99,11.86,12.72,0.7,8.991378868978357,13.030695948035882,MLAS3,acoes
2021,8.84,1.71,7.94,8.34,8.8,4.89,1.03,0.94,1.41,1.87,-7.03,-0.09,-0.44,-0.47,0.6,0.4,2.79,27.99,16.85,16.06,15.98,19.33,11.6,15.44,0.73,8.991378868978357,13.030695948035882,MLAS3,acoes
2020,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,0.16,0.45,0.47,0.33,0.67,1.72,34.49,19.28,18.45,15.62,29.15,9.48,22.95,0.61,8.991378868978357,13.030695948035882,MLAS3,acoes
2019,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,0.07,0.34,0.36,0.6,0.4,2.83,32.39,12.42,11.55,12.12,20.12,12.03,15.77,0.99,8.991378868978357,13.030695948035882,MLAS3,acoes
2018,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,0.15,0.57,0.6,0.52,0.48,2.33,34.92,12.78,12.29,12.24,24.77,12.88,19.98,1.05,8.991378868978357,13.030695948035882,MLAS3,acoes
2022,5.95,1.4,16.60521298419211,8.71,7.19,7.91,0.55,1.87,2.27,2.88,-0.88,0.29,10.20935542857143,1.48,0.39,0.61,2.06,20.36,-30.193584756304414,31.55,38.17,23.6,9.3,11.33,0.24,8.991378868978357,13.030695948035882,CBAV3,acoes
2021,10.96,1.73,5.14,7.02,6.02,7.91,0.68,1.25,0.97,3.55,-1.08,0.3,0.74,1.01,0.38,0.61,2.06,19.28,21.96,16.07,8.82,16.51,6.21,16.96,0.7,8.991378868978357,13.030695948035882,CBAV3,acoes
2020,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,0.48,1.99,3.98,0.32,0.67,1.71,10.72,15.94,7.96,-17.15,-26.04,-8.28,-5.78,0.48,8.991378868978357,13.030695948035882,CBAV3,acoes
2022,9.32,1.76,10.78,11.56,11.61,4.64,0.81,0.88,0.7,2.2,-3.44,-0.01,-0.07,-0.08,0.46,0.54,1.93,12.87,6.42,5.99,7.46,18.93,8.69,8.4,1.16,8.991378868978357,13.030695948035882,TTEN3,acoes
2021,11.17,2.15,11.98,12.77,13.6,4.53,1.09,0.87,0.9,3.16,-4.62,-0.13,-0.77,-0.82,0.51,0.49,1.83,13.13,7.06,6.62,8.06,19.24,9.79,9.98,1.21,8.991378868978357,13.030695948035882,TTEN3,acoes
2022,9.36,1.82,16.60521298419211,4.93,11.91,7.23,0.33,1.41,2.11,1.75,-38.54,-1.09,10.20935542857143,-7.1,0.18,0.82,1.24,36.49,-30.193584756304414,17.71,22.54,19.47,3.56,0.77,0.16,8.991378868978357,13.030695948035882,BRBI11,acoes
2021,10.94,1.98,5.74,5.82,14.83,7.33,0.5,1.33,6.7,1.94,-39.69,-1.2,-8.89,-9.02,0.25,0.75,1.35,94.47,45.78,45.15,61.19,18.07,4.55,0.78,0.07,8.991378868978357,13.030695948035882,BRBI11,acoes
2022,-3.62,0.5,16.60521298419211,2.54,-2.46,5.68,0.46,-0.78,2.25,0.51,-19.03,-1.02,10.20935542857143,5.05,0.93,0.07,14.53,91.86,-30.193584756304414,-91.35,-62.19,-13.72,-12.8,-20.16,0.21,8.991378868978357,13.030695948035882,NINJ3,acoes
2021,-6.64,0.95,0.41,0.4,-5.23,5.71,0.89,-0.82,4.36,0.97,-49.58,-1.02,5.67,5.63,0.94,0.06,15.13,91.83,-82.82,-83.43,-65.67,-14.3,-13.37,-18.17,0.2,8.991378868978357,13.030695948035882,NINJ3,acoes
2022,13.99,1.39,16.60521298419211,8.17,8.2,1.84,0.24,0.18,1.51,119993.89719612765,-0.33,0.824658251231527,10.20935542857143,10.919744689144414,0.17,0.83,2.723425095370657,69.68,-30.193584756304414,18.43,10.8,9.95,1.71,12.17401091405184,0.16,8.991378868978357,13.030695948035882,MODL4,acoes
2021,20.5,1.82,16.60521298419211,11.91,10.92,1.81,0.33,0.16,2.6,119993.89719612765,-0.49,0.824658251231527,10.20935542857143,10.919744689144414,0.18,0.82,2.723425095370657,83.52,-30.193584756304414,23.85,12.7,8.9,1.63,12.17401091405184,0.13,8.991378868978357,13.030695948035882,MODL4,acoes
2022,14.59,1.45,16.60521298419211,8.17,8.55,1.84,0.25,0.18,1.58,119993.89719612765,-0.34,0.824658251231527,10.20935542857143,10.919744689144414,0.17,0.83,2.723425095370657,69.68,-30.193584756304414,18.43,10.8,9.95,1.71,12.17401091405184,0.16,8.991378868978357,13.030695948035882,MODL3,acoes
2021,25.54,2.27,16.60521298419211,11.91,13.6,1.81,0.42,0.16,3.24,119993.89719612765,-0.61,0.824658251231527,10.20935542857143,10.919744689144414,0.18,0.82,2.723425095370657,83.52,-30.193584756304414,23.85,12.7,8.9,1.63,12.17401091405184,0.13,8.991378868978357,13.030695948035882,MODL3,acoes
2022,11.84,2.65,16.60521298419211,10.81,9.11,3.46,1.49,0.77,1.61,4.46,-4.99,0.49,10.20935542857143,1.68,0.56,0.43,1.91,36.15,-30.193584756304414,17.65,13.58,22.36,12.6,15.83,0.93,8.991378868978357,13.030695948035882,VITT3,acoes
2021,19.26,4.29,16.60521298419211,15.56,14.44,3.36,2.44,0.75,2.65,7.02,-8.46,0.33,10.20935542857143,1.12,0.57,0.43,1.95,36.49,-30.193584756304414,18.34,13.75,22.3,12.66,16.0,0.92,8.991378868978357,13.030695948035882,VITT3,acoes
2022,-38.73,1.92,16.60521298419211,25.18,14.57,1.62,0.56,-0.08,1.58,-136.48,-0.72,1.4,10.20935542857143,10.61,0.29,0.69,0.98,25.41,-30.193584756304414,10.85,-4.08,-4.96,-1.43,3.59,0.35,8.991378868978357,13.030695948035882,KRSA3,acoes
2021,-62.48,3.18,29.71,39.69,29.98,1.63,1.01,-0.08,3.16,13.47,-1.35,1.03,7.27,9.72,0.32,0.66,1.42,25.57,14.06,10.53,-5.05,-5.09,-1.62,2.49,0.32,8.991378868978357,13.030695948035882,KRSA3,acoes
2020,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,2.79,5.14,6.36,0.16,0.83,1.37,25.6,15.98,12.92,2.59,8.8,1.44,7.41,0.56,8.991378868978357,13.030695948035882,KRSA3,acoes
