P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Open_0,acoes,bdrs,Open_dif_disc
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,-593.34,4.14353964866196,-530.81,7.512599199733244,119993.89719612764,110018.74129170092,0.824658251231527,-7.03,-4.36,-0.26,1.26,1.46,-1.59,-8.47,-13.65,-22.72,-89.46,-23.56,-60.82,1.04,-14.02,13.030695948035882,288.002869,1,0,0.0
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,0.04,4.14353964866196,-0.23,7.512599199733244,119993.89719612764,110018.74129170092,86.44,34.11,-7.89,0.01,0.99,1.49,4.62,1.59,-6.88,-3.83,-610.28,-3.6,-16.82,0.94,-7.13,13.030695948035882,360.003601,1,0,0.0
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,0.49,4.14353964866196,-0.66,7.512599199733244,119993.89719612764,110018.74129170092,7.05,20.09,-6.86,0.06,0.94,0.54,2.54,2.5,-7.32,-9.47,-132.86,-8.61,-15.61,0.91,-0.01,13.030695948035882,13500.134766,1,0,0.0
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,1.14,4.14353964866196,0.28,7.512599199733244,119993.89719612764,110018.74129170092,2.57,2.65,5.62,0.15,0.85,0.94,15.27,13.6,6.41,3.43,24.42,3.64,8.27,1.06,5.47,-6.0,16440.164063,1,0,0.0
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,1.27,4.14353964866196,0.3,7.512599199733244,119993.89719612764,110018.74129170092,1.88,2.04,4.19,0.17,0.83,0.98,15.04,11.15,5.43,2.83,23.33,3.88,11.4,1.37,15.31,2.05,15000.150391,1,0,0.0
52.51,3.69,16.60521298419211,56.73517328028479,9.83,2.15,0.52,0.15,0.4,-4.94,-1.36,0.06,0.13,0.16,0.15,0.85,0.87,31.84,5.22,4.06,0.76,6.59,0.98,13.41,1.29,5.72,-9.47,3.75,1,0,1.0
52.51,3.69,16.60521298419211,56.73517328028479,9.83,2.15,0.52,0.15,0.4,-4.94,-1.36,0.06,0.13,0.16,0.15,0.85,0.87,31.84,5.22,4.06,0.76,6.59,0.98,13.41,1.29,5.72,-9.47,3.75,1,0,1.0
-48.92,1.66,16.60521298419211,56.73517328028479,6.52,2.18,0.27,-0.07,0.23,-3.45,-0.68,-0.03,-0.13,-0.13,0.16,0.84,0.89,33.84,3.6,3.6,-0.48,-3.38,-0.54,10.09,1.13,2.14,13.030695948035882,1.5,1,0,3.0
-48.92,1.66,16.60521298419211,56.73517328028479,6.52,2.18,0.27,-0.07,0.23,-3.45,-0.68,-0.03,-0.13,-0.13,0.16,0.84,0.89,33.84,3.6,3.6,-0.48,-3.38,-0.54,10.09,1.13,2.14,13.030695948035882,1.5,1,0,3.0
133.68,0.44,16.60521298419211,56.73517328028479,2.65,3.29,0.11,0.01,0.1,1.56,-0.33,-0.55,10.20935542857143,-3.28,0.26,0.74,1.13,32.04,-30.19358475630441,3.67,0.07,0.33,0.09,8.54,1.18,17.49,13.030695948035882,6.8,1,0,1.0
