P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Open_0,acoes,bdrs,Open_dif
-0.26,0.34,-12.65,-2.15,-0.38,6.78,0.03,-8.7,0.06,-0.16,-0.04,1.56,-10.39,-1.77,0.09,0.91,0.48,1.81,-2.66,-15.64,-22.72,-128.42,-12.05,-33.09,0.53,-16.98,13.030695948035882,8.89,1,0,0.29808773903262087
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.637188375012069,7.512599199733244,119993.89719612764,110018.74129170092,0.824658251231527,-2.48,-1.51,-0.13,1.13,0.49,-17.07,-18.2,-29.8,-48.96,-255.17,-32.62,-102.93,0.67,-21.09,13.030695948035882,25.200253,1,0,0.09126892495880894
-0.03,0.07,16.60521298419211,-1.12,-0.11,12.18,0.0,-32.61,0.0,-0.34,-0.01,0.65,10.20935542857143,-1.01,0.06,0.94,0.96,-2.39,-30.19358475630441,-3.96,-16.42,-267.8,-16.45,-71.01,1.0,-17.77,13.030695948035882,110.401108,1,0,0.08052455415574272
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,-593.34,4.14353964866196,-530.81,7.512599199733244,119993.89719612764,110018.74129170092,0.824658251231527,-7.03,-4.36,-0.26,1.26,1.46,-1.59,-8.47,-13.65,-22.72,-89.46,-23.56,-60.82,1.04,-14.02,13.030695948035882,288.002869,1,0,0.08750000681416824
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,0.04,4.14353964866196,-0.23,7.512599199733244,119993.89719612764,110018.74129170092,86.44,34.11,-7.89,0.01,0.99,1.49,4.62,1.59,-6.88,-3.83,-610.28,-3.6,-16.82,0.94,-7.13,13.030695948035882,360.003601,1,0,0.3066666769258233
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,0.49,4.14353964866196,-0.66,7.512599199733244,119993.89719612764,110018.74129170092,7.05,20.09,-6.86,0.06,0.94,0.54,2.54,2.5,-7.32,-9.47,-132.86,-8.61,-15.61,0.91,-0.01,13.030695948035882,13500.134766,1,0,0.02133333288830074
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,1.14,4.14353964866196,0.28,7.512599199733244,119993.89719612764,110018.74129170092,2.57,2.65,5.62,0.15,0.85,0.94,15.27,13.6,6.41,3.43,24.42,3.64,8.27,1.06,5.47,-6.0,16440.164063,1,0,0.021897810728678736
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,1.27,4.14353964866196,0.3,7.512599199733244,119993.89719612764,110018.74129170092,1.88,2.04,4.19,0.17,0.83,0.98,15.04,11.15,5.43,2.83,23.33,3.88,11.4,1.37,15.31,2.05,15000.150391,1,0,0.8999999609403916
-10.54,2.66,16.60521298419211,395.58,220.01,3.5,0.67,-0.88,2.78,-2.97,-0.72,2.12,10.20935542857143,175.57,0.25,0.75,0.25,25.38,-30.19358475630441,1.26,-26.33,-25.21,-6.34,0.3,0.24,8.991378868978357,13.030695948035882,9.44,1,0,0.3760593220338983
37.22,1.79,26.75,28.3,47.24,9.52,1.36,0.46,4.37,2.07,-7.55,-0.72,-17.9,-18.94,0.76,0.24,5.09,33.98,9.79,9.26,11.75,4.8,3.66,2.87,0.31,8.991378868978357,13.030695948035882,16.200001,1,0,0.349999978395063
